Nov 27, 2023 7:04:47 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Nov 27, 2023 7:04:48 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Nov 27, 2023 7:04:48 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock C:\Users\User\GitRepositories\KarafRepo\Karaf\lock
Nov 27, 2023 7:04:48 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Nov 27, 2023 7:04:48 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-11-27T19:04:49,452 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 7 - org.ops4j.pax.logging.pax-logging-api - 2.2.3 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2023-11-27T19:04:50,157 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 | Adding features: system/[4.4.4,4.4.4],feature/[4.4.4,4.4.4],deployer/[4.4.4,4.4.4],diagnostic/[4.4.4,4.4.4],management/[4.4.4,4.4.4],bundle/[4.4.4,4.4.4],ssh/[4.4.4,4.4.4],log/[4.4.4,4.4.4],eventadmin/[4.4.4,4.4.4],instance/[4.4.4,4.4.4],config/[4.4.4,4.4.4],framework/[4.4.4,4.4.4],shell/[4.4.4,4.4.4],kar/[4.4.4,4.4.4],service/[4.4.4,4.4.4],jaas/[4.4.4,4.4.4],wrap/[2.6.14,2.6.14],package/[4.4.4,4.4.4]
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 | Changes to perform:
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   Region: root
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |     Bundles to install:
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |       mvn:org.bouncycastle/bcpkix-jdk18on/1.75
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |       mvn:org.bouncycastle/bcprov-jdk18on/1.75
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |       mvn:org.bouncycastle/bcutil-jdk18on/1.75
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.4.4
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.4.4
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.4.4
2023-11-27T19:04:50,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.4.4
